"","division","gender","belt","weight","fight","date","competitor","name","gym"
"116","Master 2","Male","BLACK","Middle","FIGHT 33","Thu 09/01 at 02:05 PM","32","Daniel John Humke","Six Blades Jiu-Jitsu"
"117","Master 2","Male","BLACK","Middle","FIGHT 26","Thu 09/01 at 01:17 PM","20","Francisco Cuneo","Unity Jiu-jitsu"
"118","Master 2","Male","BLACK","Middle","FIGHT 26","Thu 09/01 at 01:17 PM","36","Alessandro da Silva João","Demian Maia Jiu-Jitsu"
"119","Master 2","Male","BLACK","Middle","BYE","BYE","1","Rafael Monteiro Barbosa","Double Five"
"120","Master 2","Male","BLACK","Middle",NA,NA,"",NA,NA
"121","Master 2","Male","BLACK","Middle","FIGHT 44","Thu 09/01 at 04:39 PM","6","Eduardo Cunha Bastos","Ns Brotherhood"
"122","Master 2","Male","BLACK","Middle","FIGHT 44","Thu 09/01 at 04:39 PM","2","Piter Frank Almeida Silva","Alliance "
"123","Master 2","Male","BLACK","Middle","FIGHT 46","Thu 09/01 at 03:40 PM","3","Sandro Gabriel Vieira","CheckMat"
"124","Master 2","Male","BLACK","Middle","FIGHT 46","Thu 09/01 at 03:40 PM","2","Piter Frank Almeida Silva","Alliance "
"125","Master 2","Male","BLACK","Middle","FIGHT 44","Thu 09/01 at 03:15 PM","20","Francisco Cuneo","Unity Jiu-jitsu"
"126","Master 2","Male","BLACK","Middle","FIGHT 44","Thu 09/01 at 03:15 PM","6","Eduardo Cunha Bastos","Ns Brotherhood"
