"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Aleksandr Ustimenko",42,"Senna Fight Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alessandra Vieira Jamgochian",8,"CheckMat",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alessandro Botarelli Scioli",5,"One Jiu-Jitsu Brasil",18,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alessandro Cirone Nagaishi",1,"CheckMat",331,499,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alessandro Cirone Nagaishi",3,"CheckMat",339,450,"No","No","No","No","No","No",NA,NA,66,127,NA,NA,NA,NA,NA,NA,NA
"
Alessandro da Silva João",36,"Demian Maia Jiu-Jitsu",0,1,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alessandro Negro",6,"RMNU Team",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Aemalemalo D'Hue",45,"Gracie Barra",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Almeida Cavalcante da Silva",4,"Drill BJJ",72,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Almeida Cavalcante da Silva",5,"Drill BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,144,NA,NA,NA,NA,NA,NA
"
Alex Bachuk",43,"Fairfield Fit Club BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Charles W. Huddleston",28,"Easton BJJ",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Couch",19,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex de Araújo Paz",24,"Clube de Lutas Australia",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Jennifer Barcelona",3,"Ares BJJ",26,59,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex K Desha",17,"Alliance",0,6,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Lee Jones",69,"Team Shawn Hammonds",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Lewis Smith",30,"Roger Gracie Academy B",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Martins do Nascimento",3,"LEAD BJJ",253,651,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Sandro De Menezes Godoy Moreira",18,"CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Yuri Benikov",12,"Soul Fighters BJJ",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alex Zapasov",30,"Akxe BJJ USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Charles Yablong",14,"Easton BJJ",0,41,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Chinchilla",1,"Ed Ramos Jiu-Jitsu USA",297,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Czar Del Rosario",26,"North Park Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Everett Taylor",24,"Dean Lister Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander John Oliveri",24,"Jiu-Jitsu Methods",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Law",38,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Martinez",16,"Ares BJJ",0,33,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Michael Simantel",40,"Impact Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Nelson Ninan",60,"Alliance Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Ortiz Mehlhoff",14,"Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Panyasiri",3,"Impact Jiu Jitsu",21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Patrick Watkins",47,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Rabello Doxsey",10,"Banana Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Rivera",10,"Gracie Barra",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Ruby Mendez",13,"GF Team",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Scot Campbell",2,"Renato Tavares Association",36,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Scott Kehoe",6,"Carlson Gracie Team",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander V Rovner",2,"3rd Generation Jiu-Jitsu Academy",81,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Vu Dao",14,"Unity Jiu-jitsu",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexander Vu Dao",11,"Unity Jiu-jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA
"
Alexander Wolf",7,"Brasa CTA",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandra Condado",8,"Brazilian Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandra Condado",10,"Brazilian Top Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Alexandra Pearl S. Jaffe",22,"Brazilian Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Amaral Gurgel",1,"CheckMat",108,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Aparecido Yamauchi",6,"G13 BJJ",24,90,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Augusto de O. Monteiro",32,"Reinel Spyker Jiu Jitsu",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Augusto Monteiro",8,"Carlson Gracie Team",0,9,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Benedito Muniz das Chagas",57,"Cei Jiu-Jitsu International",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre C. Freitas",1,"R1NG BJJ",486,513,"No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Concieiro Pimentel",5,"Elite Force BJJ",156,156,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Fernandes Dantas",4,"Gracie Barra",200,236,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Gadelha Lima",2,"Alliance",36,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Henrique Moreno Moreira",56,"Team Link",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Lopes de Oliveira",31,"RMNU Brasil",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Pacheco Novaes",40,"Alexandre Novaes Jiu-Jitsu Academy",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Ribeiro Godoy",15,"X Team - Matriz",0,27,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Silva Pinheiro da Costa",24,"Gracie Barra",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Teixeira Araujo",1,"Alexandre Araujo AJJ Team",234,517,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Teixeira Araujo",6,"Alexandre Araujo AJJ Team",216,450,"No","No","No","No","No","No",NA,NA,18,81,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Verga",15,"R1NG BJJ",0,40,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Viana França",18,"American Top Team",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexandre Vomero Manara",23,"Carlson Gracie Team",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexey França Santos",19,"RMNU Brasil",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexi Mulyn Vaughn",5,"GF Team",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexis Abigail Mattos",3,"Ruffhouse",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alexis Oumênde Preira",23,"Evolve MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfonso Gerardo Morin Jr.",5,"Baret Submissions USA",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfonso Jesus Martinez",25,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfonso Luna",46,"Alexandre Novaes Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfonso Salinas Garcia Jr.",18,"LEAD BJJ",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfred Bradley Kearney Jr",5,"American Jiu-Jitsu Syndicate",0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfred Orillaneda Lagura",20,"Aspire To Inspire",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfredo Ivan Moscoso",4,"Alliance",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alfredo Vasconcelos Barum",10,"Barum Jiu-Jitsu",0,112,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ali Hosseinian",12,"Impact Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ali Tahsini",12,"Sabre Jiu-Jitsu Academy",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ali Zachary",11,"Milestone Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alia Victoria Garcia-Valadez",1,"Brazilian Top Team",472,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alia Victoria Garcia-Valadez",1,"Brazilian Top Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,283,189,NA,NA,NA,NA,NA,NA
"
Alice C Fontanos",37,"Team Maxwell",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alicia Angelica Rios",17,"McCune's Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alicia Jeannette Marroquin",2,"Rodrigo Freitas Brazilian Jiu-Jitsu",0,9,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alicia Margarete Schleuse",2,"Level Up Brazilian Jiu-Jitsu",21,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alicia Rachael Abdelhamed",15,"RMNU Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alicia Rene Raquel Unkrich",2,"TAC Team BJJ",63,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alika J. Dayton",21,"Alliance",0,22,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alika K. Angerman",23,"TABJJ / Honeybadger BJJ",0,17,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alika Nakuwauna B. Hoomana",16,"Nova União",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aline Carolina M. B. Rocha",2,"Six Blades Jiu-Jitsu",137,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Aline Carolina M. B. Rocha",2,"Six Blades Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,159,194,NA,NA,NA,NA,NA,NA
"
Alisha Randall",8,"Travis Lutter Brazilian Jiu-Jitsu",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alisha Varallo",4,"Prime Jiu-Jitsu Center",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alison Victoria Tremblay",2,"Brazilian Top Team",36,94,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alison Victoria Tremblay",10,"Brazilian Top Team",36,72,"No","No",NA,NA,NA,NA,NA,NA,0,27,NA,NA,NA,NA,NA,NA,NA
"
Alita Martinique Brooks",21,"Pedigo Submission Fighting",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allan Claro de Souza",23,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allan J Scott",10,"American Jiu-Jitsu Syndicate",0,4,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allan Jesse Jardin",46,"Mano Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allan K Keahi Raikes",68,"Zenith BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allen Bolen",3,"Carlson Gracie Team",36,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allen John Mendoza",21,"Mano Jiu-Jitsu",0,1,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allen Youngjun Bahng",41,"Legion American Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alli Janelle Patten",36,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Allison  Jaffe Haynes",2,"RMNU Team",14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Almansor Vaz",3,"Zenith BJJ",84,199,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Almugheera Ward-Yassin",49,"Pacific Top Team",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alonso F. Saavedra",38,"Tribal Gym",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alonzo Garza Campos",3,"Gracie Barra",7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alton David Mulllinax",38,"Reyson Gracie / Barradas Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alvanette Vitcovich Kauluweheokelani",21,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alysha Michelle LaFromboise",34,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alyshia Marie Piper",20,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alyssa Ann Webb",12,"American Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alyssa Gayneille Arn",1,"Team Jucão",126,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alyssa Gayneille Arn",2,"Team Jucão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,72,144,NA,NA,NA,NA,NA,NA
"
Alyssa Nicole Campos",30,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alyssa Rebecca Lauron Walls",3,"Yemaso Brazilian Jiu-Jitsu",12,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Alyssa Rebecca Lauron Walls",7,"Yemaso Brazilian Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139,276,NA,NA,NA,NA,NA,NA
"
Alyssandra Renee Gomez",6,"Ohana Jiu-Jitsu Academy",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amal B. Easton",6,"Easton BJJ",36,90,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Alexis Villarreal",2,"GF Team",108,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Beth Wyatt",4,"Alliance",52,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Cullen",7,"Cicero Costha Internacional",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Jane Englestad",2,"Atos Jiu-Jitsu",105,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Leferink Hoffpauir",1,"BJJ Revolution Team",31,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Lucas Hallikainen",4,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Lucas Hallikainen",7,"Cascao Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Amanda Lynn Toups",7,"Renzo Gracie Mont Belvieu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Magda de Oliveira",2,"Fratres Brazilian Jiu Jitsu",162,310,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Magda de Oliveira",3,"Fratres Brazilian Jiu Jitsu",108,198,"No","No","No",NA,NA,NA,NA,NA,54,112,NA,NA,NA,NA,NA,NA,NA
"
Amanda Marie Riggs",1,"Crazy 88",210,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Medina Calimbas",4,"Rilion Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Nicole Dickson",9,"Equipe Tsunami Brazilian Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda R Clifton",3,"TAC Team BJJ",54,130,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Regina Brown",1,"Alliance",108,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Tuyetyi Dang",15,"Marco Nascimento BJJ",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amanda Yuki Grummon",3,"Gracie Barra",8,13,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amar Harold Singh",64,"Alliance Jiu-Jitsu",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amarie Michelle Dalmolin",15,"Ohana Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amber Jo Clingerman",3,"Zenith BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amber Jo Clingerman",15,"Zenith BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"
Amber Lee Richards",10,"Pedro Sauer Team",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amber M Harper",19,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amber Ryan Tyler",29,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amber Rymarz-Freitas",2,"Smartjits",39,125,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amber S. Tucker",4,"Six Blades Jiu-Jitsu",0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ambrose Keivern Harris",24,"CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ambur Valleau Dupuis",11,"AEG",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amilcar Cipili",4,"Gracie Humaita",24,1058,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amir Abaass Mahboobi",19,"Claudio Franca",0,12,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amon Jarret Dessources",5,"Atliens Odyssey",12,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amon Yunusov Ibatovich",65,"CheckMat International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy A Hoffman",4,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Cadwell-Montenegro",4,"Gracie Barra",0,24,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Erin Bienert",2,"Zenith BJJ",12,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Fidelis",2,"Easton BJJ",126,256,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Fidelis",6,"Easton BJJ",108,180,"No","No","No","No","No",NA,NA,NA,18,85,NA,NA,NA,NA,NA,NA,NA
"
Amy L Ford",24,"Jiu-Jitsu For Life Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Linn Linsemier",4,"Combat Base",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Maria Palacios",3,"Gracie Barra",0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Maria Palacios",5,"Gracie Barra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,41,NA,NA,NA,NA,NA,NA
"
Amy Marie Beckley",14,"Jiu-Jitsu For Life Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Amy Marie Kyle",1,"Brazil Academy USA",108,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
