div,stock,dates
7.43,164.8,1984m10
7.48,166.3,1984m11
7.53,164.5,1984m12
7.57333,171.6,1985m1
7.61667,180.9,1985m2
7.66,179.4,1985m3
7.68667,180.6,1985m4
7.71333,184.9,1985m5
7.74,188.9,1985m6
7.77333,192.5,1985m7
7.80667,188.3,1985m8
7.84,184.1,1985m9
7.86,186.2,1985m10
7.88,197.5,1985m11
7.9,207.3,1985m12
7.94,208.2,1986m1
7.98,219.4,1986m2
8.02,232.3,1986m3
8.04667,238,1986m4
8.07333,238.5,1986m5
8.1,245.3,1986m6
8.14333,240.2,1986m7
8.18667,245,1986m8
8.23,238.3,1986m9
8.24667,237.4,1986m10
8.26333,245.1,1986m11
8.28,248.6,1986m12
8.3,264.5,1987m1
8.32,280.9,1987m2
8.34,292.5,1987m3
8.4,289.3,1987m4
8.46,289.1,1987m5
8.52,301.4,1987m6
8.56667,310.1,1987m7
8.61333,329.4,1987m8
8.66,318.7,1987m9
8.71,280.2,1987m10
8.76,245,1987m11
8.81,241,1987m12
8.85667,250.5,1988m1
8.90333,258.1,1988m2
8.95,265.7,1988m3
9.04333,262.6,1988m4
9.13667,256.1,1988m5
9.23,270.7,1988m6
9.30667,269.1,1988m7
9.38333,263.7,1988m8
9.46,268,1988m9
9.55,277.4,1988m10
9.64,271,1988m11
9.73,276.5,1988m12
9.81333,285.4,1989m1
9.89667,294,1989m2
9.98,292.7,1989m3
10.0867,302.3,1989m4
10.1933,313.9,1989m5
10.3,323.7,1989m6
10.4233,331.9,1989m7
10.5467,346.6,1989m8
10.67,347.3,1989m9
10.7967,347.4,1989m10
10.9233,340.2,1989m11
11.05,348.6,1989m12
11.14,339.97,1990m1
11.23,330.45,1990m2
11.32,338.46,1990m3
11.4367,338.18,1990m4
11.5533,350.25,1990m5
11.67,360.39,1990m6
11.7267,360.03,1990m7
11.7833,330.75,1990m8
11.84,315.41,1990m9
11.9267,307.12,1990m10
12.0133,315.29,1990m11
12.1,328.75,1990m12
